,0,8,4,12,2,10,6,14,1,9,5,13,3,11,7,15
,"0000","0001","0010","0011","0100","0101","0110","0111","1000","1001","1010","1011","1100","1101","1110","1111"
L00011_S,"L0000_UZ","-","-","-","-","-","-","-","L000_UY","-","-","-","-","-","-","-",
L0000011_S,"L0000_UY","L1_Y","L10_Y","L11_Y","-","-","-","L111_Y","L000_UX","L1_X","-","L11_X","-","-","-","-",
L000001_S,"L0000_UY","L1_Y","-","L11_Y","-","-","-","L111_Y","L000_UY","L1_Y","-","L11_Y","L00_UX","L1_X","-","-",
L0000000_S,"-","-","-","-","L00_UX","-","-","-","L000_UX","L1_X","-","-","L00_UX","L1_X","L0_UX","-",
L000000_S,"-","-","L0_UX","L1_X","L00_UX","L1_X","L0_UX","L111_TX","L000_UY","L1_X","-","-","L00_UX","L1_X","L0_UX","-",
L00000_S,"-","L1_TX","L0_UX","L11_TX","L00_UY","-","L0_UX","L111_TX","L000_UY","-","-","-","L00_UY","-","L0_UX","-",
L0000_S,"L0000000_S","L1_TX","L0_UY","L11_TX","L00_UY","-","L0_UY","L111_TX","L000_UY","-","-","-","L00_UY","-","L0_UY","L111_TY",
L000_S,"L0000000_S","L1_TX","L0_UY","L0000011_S","L00_UY","-","L0_UY","L111_TY","L000_UZ","-","-","-","L00_UZ","-","L0_UY","-",
L00_S,"L000000_S","L000001_S","L0_UY","L11_TY","L00_UZ","-","L0_UZ","L111_TY","L000_UZ","-","-","-","L00_UZ","-","L0_UZ","-",
L0_S,"L00000_S","L1_TY","L0_UZ","L00011_S","L00_UZ","-","L0_UZ","L111_TZ","-","-","-","-","L00_UZ","-","L0_UZ","-",
L111_T,"L0000_U","L1","L10","L11","-","-","L110","L111","L000_U","-","-","-","-","-","-","-",
L11_T,"L0000_U","L1","L10","L11","-","-","-","L111","L000_U","L1","-","L11","L00_U","-","-","-",
L1_T,"L0000_U","L1","-","L11","-","-","-","L111","L000_U","L1","-","L11","L00_U","L1","-","-",
L000_T,"-","-","-","-","-","-","-","L111_U","L000","L001","-","-","L00","L01","L0","L1111_U",
L00_T,"-","-","-","L11_U","L00","-","L0","L111_U","L000","-","-","-","L00","L01","L0","L1111_U",
L0_T,"-","-","L0","L11_U","L00","-","L0","L111_U","L000","-","-","-","L00","-","L0","L1111_U",
